engine,fee_mult,slippage_bps,delay_bars,leverage,mmr,funding_per_8h,total_trades,win_rate_pct,total_return_pct,max_drawdown_pct,final_equity,total_fees_paid,total_funding_paid,liquidations,results_path
futures,1.0,0.0,1,1.0,0.005,-0.0001,164,78.04878048780488,208.41219627572403,-20.285018502711594,30841.2196275724,3174.742940152878,541.0227621336207,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip0bps_delay1_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,0.0,2,1.0,0.005,-0.0001,166,74.09638554216868,82.50077557639128,-22.43061624974437,18250.077557639128,2057.3777302237854,232.99763517245987,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip0bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,1.0,1,1.0,0.005,-0.0001,164,78.04878048780488,202.6036018252736,-20.41275376056516,30260.36018252736,3141.503218900746,533.655065951047,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip1bps_delay1_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,1.0,2,1.0,0.005,-0.0001,166,74.09638554216868,78.85914630985718,-22.54222454538133,17885.914630985717,2035.3721207807803,230.26902259951285,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip1bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,3.0,1,1.0,0.005,-0.0001,164,78.04878048780488,191.30903504250227,-20.667702805179722,29130.903504250226,3076.3186920566427,519.2540318611395,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip3bps_delay1_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,3.0,2,1.0,0.005,-0.0001,166,73.49397590361446,63.34586834293583,-22.765074874682522,16334.586834293583,1964.1344124588657,225.60090337105743,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip3bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,5.0,1,1.0,0.005,-0.0001,164,77.4390243902439,170.9229851144298,-20.921957868894214,27092.29851144298,2915.490507151161,488.45901187620285,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip5bps_delay1_lev1_mmr0p005_fundm0p0001\results.json
futures,1.0,5.0,2,1.0,0.005,-0.0001,166,72.89156626506023,50.97295650612557,-25.867087809885746,15097.295650612557,1886.436287617197,216.6875957837854,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1_slip5bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
futures,1.25,0.0,1,1.0,0.005,-0.0001,164,78.04878048780488,196.7509427770927,-20.523949562466214,29675.094277709268,3882.592778744992,525.9716291104331,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip0bps_delay1_lev1_mmr0p005_fundm0p0001\results.json
futures,1.25,0.0,2,1.0,0.005,-0.0001,166,74.09638554216868,75.48225174117222,-22.594063719385137,17548.225174117222,2518.0797413917007,227.67062515863316,0,C:\Users\wrodr\Documents\GitHub\crypto-orb-research\reports\scenarios\futures\fee1p25_slip0bps_delay2_lev1_mmr0p005_fundm0p0001\results.json
